Time (days),Susceptible (Sh),Exposed (Eh),Exposed & Quarantined (Et),Exposed & Not Treated (En),Infected humans (Ih),Isolated Humans (Iq),Death Humans (D),Susceptible Rodent (Sr),Exposed Rodent (Er),Infected Rodent (Ir)
330,0.7619,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0023
331,0.7619,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0023
332,0.7619,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0023
333,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0023
334,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0023
335,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0023
336,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0023
337,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0023
338,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0023
339,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0023
340,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0023
341,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0023
342,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0022
343,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0022
344,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0022
345,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0022
346,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0022
347,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0022
348,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0022
349,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0022
350,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0022
351,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0022
352,0.7620,0.0113,0.0010,0.1264,0.0172,0.0038,0.0053,0.1579,0.0066,0.0022
