Time,S_H,E_H,E_TH,E_NT,I_H,I_QH,D_H
87,0.7436,0.011,0.001,0.125,0.0171,0.0038,0.0778
88,0.7441,0.011,0.001,0.1249,0.0171,0.0038,0.0758
89,0.7446,0.011,0.001,0.1249,0.0171,0.0038,0.0738
90,0.7451,0.011,0.001,0.1248,0.0171,0.0038,0.0719
91,0.7456,0.011,0.001,0.1247,0.0171,0.0038,0.07
92,0.746,0.011,0.001,0.1247,0.0171,0.0038,0.0681
93,0.7465,0.011,0.001,0.1246,0.017,0.0038,0.0664
94,0.7469,0.0111,0.001,0.1246,0.017,0.0038,0.0646
95,0.7473,0.0111,0.001,0.1245,0.017,0.0038,0.0629
96,0.7477,0.0111,0.001,0.1245,0.017,0.0038,0.0613
97,0.7481,0.0111,0.001,0.1245,0.017,0.0038,0.0597
98,0.7485,0.0111,0.001,0.1245,0.017,0.0038,0.0581
99,0.7488,0.0111,0.001,0.1244,0.017,0.0038,0.0566
100,0.7492,0.0111,0.001,0.1244,0.017,0.0038,0.0551
101,0.7495,0.0111,0.001,0.1244,0.017,0.0038,0.0537
102,0.7499,0.0111,0.001,0.1244,0.017,0.0038,0.0523
103,0.7502,0.0111,0.001,0.1244,0.017,0.0038,0.0509
104,0.7505,0.0111,0.001,0.1244,0.017,0.0038,0.0496
105,0.7508,0.0111,0.001,0.1244,0.017,0.0038,0.0483
106,0.7511,0.0111,0.001,0.1244,0.017,0.0038,0.047
107,0.7514,0.0111,0.001,0.1244,0.017,0.0038,0.0458
108,0.7516,0.0111,0.001,0.1244,0.017,0.0038,0.0446
109,0.7519,0.0111,0.001,0.1244,0.017,0.0038,0.0434
110,0.7522,0.0111,0.001,0.1244,0.017,0.0038,0.0423
111,0.7524,0.0111,0.001,0.1245,0.017,0.0038,0.0412
112,0.7526,0.0111,0.001,0.1245,0.017,0.0038,0.0401
113,0.7529,0.0111,0.001,0.1245,0.017,0.0038,0.0391
114,0.7531,0.0111,0.001,0.1245,0.017,0.0038,0.0381
115,0.7533,0.0112,0.001,0.1245,0.017,0.0038,0.0371
116,0.7535,0.0112,0.001,0.1245,0.017,0.0038,0.0362
117,0.7538,0.0112,0.001,0.1246,0.017,0.0038,0.0352
118,0.754,0.0112,0.001,0.1246,0.017,0.0038,0.0343
119,0.7542,0.0112,0.001,0.1246,0.017,0.0038,0.0334
120,0.7543,0.0112,0.001,0.1246,0.017,0.0038,0.0326
121,0.7545,0.0112,0.001,0.1246,0.017,0.0038,0.0317
122,0.7547,0.0112,0.001,0.1247,0.017,0.0038,0.0309
123,0.7549,0.0112,0.001,0.1247,0.017,0.0038,0.0301
124,0.7551,0.0112,0.001,0.1247,0.017,0.0038,0.0294
125,0.7552,0.0112,0.001,0.1247,0.017,0.0038,0.0286
126,0.7554,0.0112,0.001,0.1248,0.017,0.0038,0.0279
127,0.7555,0.0112,0.001,0.1248,0.017,0.0038,0.0272
128,0.7557,0.0112,0.001,0.1248,0.017,0.0038,0.0265
129,0.7559,0.0112,0.001,0.1248,0.017,0.0038,0.0258
130,0.756,0.0112,0.001,0.1249,0.017,0.0038,0.0252
131,0.7561,0.0112,0.001,0.1249,0.017,0.0038,0.0245
132,0.7563,0.0112,0.001,0.1249,0.017,0.0038,0.0239
133,0.7564,0.0112,0.001,0.1249,0.017,0.0038,0.0233
134,0.7565,0.0112,0.001,0.125,0.017,0.0038,0.0227
135,0.7567,0.0112,0.001,0.125,0.017,0.0038,0.0222
136,0.7568,0.0112,0.001,0.125,0.017,0.0038,0.0216
137,0.7569,0.0112,0.001,0.125,0.017,0.0038,0.0211
138,0.757,0.0112,0.001,0.1251,0.017,0.0038,0.0206
139,0.7572,0.0112,0.001,0.1251,0.017,0.0038,0.02
140,0.7573,0.0112,0.001,0.1251,0.017,0.0038,0.0196
141,0.7574,0.0112,0.001,0.1251,0.017,0.0038,0.0191
142,0.7575,0.0112,0.001,0.1252,0.0171,0.0038,0.0186
143,0.7576,0.0112,0.001,0.1252,0.0171,0.0038,0.0182
144,0.7577,0.0112,0.001,0.1252,0.0171,0.0038,0.0177
145,0.7578,0.0112,0.001,0.1252,0.0171,0.0038,0.0173
146,0.7579,0.0112,0.001,0.1252,0.0171,0.0038,0.0169
147,0.758,0.0112,0.001,0.1253,0.0171,0.0038,0.0165
148,0.7581,0.0112,0.001,0.1253,0.0171,0.0038,0.0161
149,0.7582,0.0112,0.001,0.1253,0.0171,0.0038,0.0157
150,0.7583,0.0112,0.001,0.1253,0.0171,0.0038,0.0153
151,0.7583,0.0112,0.001,0.1253,0.0171,0.0038,0.0149
152,0.7584,0.0112,0.001,0.1254,0.0171,0.0038,0.0146
153,0.7585,0.0112,0.001,0.1254,0.0171,0.0038,0.0142
154,0.7586,0.0112,0.001,0.1254,0.0171,0.0038,0.0139
155,0.7587,0.0112,0.001,0.1254,0.0171,0.0038,0.0136
156,0.7587,0.0112,0.001,0.1254,0.0171,0.0038,0.0133
157,0.7588,0.0112,0.001,0.1255,0.0171,0.0038,0.013
158,0.7589,0.0112,0.001,0.1255,0.0171,0.0038,0.0127
159,0.759,0.0112,0.001,0.1255,0.0171,0.0038,0.0124
160,0.759,0.0112,0.001,0.1255,0.0171,0.0038,0.0121
161,0.7591,0.0112,0.001,0.1255,0.0171,0.0038,0.0118
162,0.7592,0.0112,0.001,0.1256,0.0171,0.0038,0.0115
163,0.7592,0.0112,0.001,0.1256,0.0171,0.0038,0.0113
164,0.7593,0.0112,0.001,0.1256,0.0171,0.0038,0.011
165,0.7593,0.0112,0.001,0.1256,0.0171,0.0038,0.0108
166,0.7594,0.0112,0.001,0.1256,0.0171,0.0038,0.0105
167,0.7595,0.0112,0.001,0.1256,0.0171,0.0038,0.0103
168,0.7595,0.0112,0.001,0.1257,0.0171,0.0038,0.0101
169,0.7596,0.0112,0.001,0.1257,0.0171,0.0038,0.0099
170,0.7596,0.0112,0.001,0.1257,0.0171,0.0038,0.0096
171,0.7597,0.0112,0.001,0.1257,0.0171,0.0038,0.0094
172,0.7597,0.0113,0.001,0.1257,0.0171,0.0038,0.0092
173,0.7598,0.0113,0.001,0.1257,0.0171,0.0038,0.009
174,0.7598,0.0113,0.001,0.1257,0.0171,0.0038,0.0088
175,0.7599,0.0113,0.001,0.1258,0.0171,0.0038,0.0087
176,0.7599,0.0113,0.001,0.1258,0.0171,0.0038,0.0085
177,0.76,0.0113,0.001,0.1258,0.0171,0.0038,0.0083
178,0.76,0.0113,0.001,0.1258,0.0171,0.0038,0.0081
179,0.7601,0.0113,0.001,0.1258,0.0171,0.0038,0.008
180,0.7601,0.0113,0.001,0.1258,0.0171,0.0038,0.0078
181,0.7602,0.0113,0.001,0.1258,0.0172,0.0038,0.0076
182,0.7602,0.0113,0.001,0.1258,0.0172,0.0038,0.0075
183,0.7602,0.0113,0.001,0.1259,0.0172,0.0038,0.0073
184,0.7603,0.0113,0.001,0.1259,0.0172,0.0038,0.0072
185,0.7603,0.0113,0.001,0.1259,0.0172,0.0038,0.0071
186,0.7604,0.0113,0.001,0.1259,0.0172,0.0038,0.0069
187,0.7604,0.0113,0.001,0.1259,0.0172,0.0038,0.0068
188,0.7604,0.0113,0.001,0.1259,0.0172,0.0038,0.0067
189,0.7605,0.0113,0.001,0.1259,0.0172,0.0038,0.0065
190,0.7605,0.0113,0.001,0.1259,0.0172,0.0038,0.0064
191,0.7605,0.0113,0.001,0.1259,0.0172,0.0038,0.0063
192,0.7606,0.0113,0.001,0.126,0.0172,0.0038,0.0062
193,0.7606,0.0113,0.001,0.126,0.0172,0.0038,0.0061
194,0.7606,0.0113,0.001,0.126,0.0172,0.0038,0.006
195,0.7607,0.0113,0.001,0.126,0.0172,0.0038,0.0059
196,0.7607,0.0113,0.001,0.126,0.0172,0.0038,0.0058
197,0.7607,0.0113,0.001,0.126,0.0172,0.0038,0.0057
198,0.7607,0.0113,0.001,0.126,0.0172,0.0038,0.0056
199,0.7608,0.0113,0.001,0.126,0.0172,0.0038,0.0055
200,0.7608,0.0113,0.001,0.126,0.0172,0.0038,0.0054
201,0.7608,0.0113,0.001,0.126,0.0172,0.0038,0.0053
202,0.7609,0.0113,0.001,0.126,0.0172,0.0038,0.0052
203,0.7609,0.0113,0.001,0.126,0.0172,0.0038,0.0051
204,0.7609,0.0113,0.001,0.1261,0.0172,0.0038,0.005
205,0.7609,0.0113,0.001,0.1261,0.0172,0.0038,0.0049
206,0.761,0.0113,0.001,0.1261,0.0172,0.0038,0.0049
207,0.761,0.0113,0.001,0.1261,0.0172,0.0038,0.0048
208,0.761,0.0113,0.001,0.1261,0.0172,0.0038,0.0047
209,0.761,0.0113,0.001,0.1261,0.0172,0.0038,0.0046
210,0.761,0.0113,0.001,0.1261,0.0172,0.0038,0.0046
211,0.7611,0.0113,0.001,0.1261,0.0172,0.0038,0.0045
212,0.7611,0.0113,0.001,0.1261,0.0172,0.0038,0.0044
213,0.7611,0.0113,0.001,0.1261,0.0172,0.0038,0.0044
214,0.7611,0.0113,0.001,0.1261,0.0172,0.0038,0.0043
215,0.7611,0.0113,0.001,0.1261,0.0172,0.0038,0.0043
216,0.7612,0.0113,0.001,0.1261,0.0172,0.0038,0.0042
217,0.7612,0.0113,0.001,0.1261,0.0172,0.0038,0.0041
218,0.7612,0.0113,0.001,0.1261,0.0172,0.0038,0.0041
219,0.7612,0.0113,0.001,0.1261,0.0172,0.0038,0.004
220,0.7612,0.0113,0.001,0.1262,0.0172,0.0038,0.004
221,0.7613,0.0113,0.001,0.1262,0.0172,0.0038,0.0039
222,0.7613,0.0113,0.001,0.1262,0.0172,0.0038,0.0039
223,0.7613,0.0113,0.001,0.1262,0.0172,0.0038,0.0038
224,0.7613,0.0113,0.001,0.1262,0.0172,0.0038,0.0038
225,0.7613,0.0113,0.001,0.1262,0.0172,0.0038,0.0037
226,0.7613,0.0113,0.001,0.1262,0.0172,0.0038,0.0037
227,0.7613,0.0113,0.001,0.1262,0.0172,0.0038,0.0037
228,0.7614,0.0113,0.001,0.1262,0.0172,0.0038,0.0036
229,0.7614,0.0113,0.001,0.1262,0.0172,0.0038,0.0036
230,0.7614,0.0113,0.001,0.1262,0.0172,0.0038,0.0035
231,0.7614,0.0113,0.001,0.1262,0.0172,0.0038,0.0035
232,0.7614,0.0113,0.001,0.1262,0.0172,0.0038,0.0035
233,0.7614,0.0113,0.001,0.1262,0.0172,0.0038,0.0034
234,0.7614,0.0113,0.001,0.1262,0.0172,0.0038,0.0034
235,0.7615,0.0113,0.001,0.1262,0.0172,0.0038,0.0034
236,0.7615,0.0113,0.001,0.1262,0.0172,0.0038,0.0033
237,0.7615,0.0113,0.001,0.1262,0.0172,0.0038,0.0033
238,0.7615,0.0113,0.001,0.1262,0.0172,0.0038,0.0033
239,0.7615,0.0113,0.001,0.1262,0.0172,0.0038,0.0032
240,0.7615,0.0113,0.001,0.1262,0.0172,0.0038,0.0032
241,0.7615,0.0113,0.001,0.1262,0.0172,0.0038,0.0032
242,0.7615,0.0113,0.001,0.1262,0.0172,0.0038,0.0031
243,0.7615,0.0113,0.001,0.1262,0.0172,0.0038,0.0031
244,0.7616,0.0113,0.001,0.1263,0.0172,0.0038,0.0031
245,0.7616,0.0113,0.001,0.1263,0.0172,0.0038,0.0031
246,0.7616,0.0113,0.001,0.1263,0.0172,0.0038,0.003
247,0.7616,0.0113,0.001,0.1263,0.0172,0.0038,0.003
248,0.7616,0.0113,0.001,0.1263,0.0172,0.0038,0.003
249,0.7616,0.0113,0.001,0.1263,0.0172,0.0038,0.003
